"tail.dates_n..n.....first...1..","tail.daily..n.....first...1..","tail.daily..n.....first...1.....0"
28,0.5,3.39589458022477
29,0.75,3.36594711782583
30,0.375,3.33600059952033
31,0.6875,3.30605505096331
32,2.34375,3.27611049874695
33,1.171875,3.24616697044376
34,1.5859375,3.21622449465208
35,1.29296875,3.18628310104422
36,9.646484375,3.15634282041733
37,12.3232421875,3.12640368474706
38,17.16162109375,3.09646572724453
39,16.580810546875,3.06652898241644
40,25.2904052734375,3.03659348612882
41,34.1452026367188,3.00665927567458
42,35.0726013183594,2.97672638984506
43,45.5363006591797,2.94679486900598
44,40.2681503295898,2.91686475517807
45,57.1340751647949,2.88693609212258
46,103.067037582397,2.85700892543233
47,144.533518791199,2.82708330262835
48,163.766759395599,2.79715927326279
49,223.8833796978,2.76723688902848
50,258.9416898489,2.73731620387561
51,236.47084492445,2.70739727413618
52,305.235422462225,2.67748015865664
53,343.617711231112,2.64756491893967
54,506.808855615556,2.61765161929543
55,579.404427807778,2.58774032700346
56,646.702213903889,2.55783111248573
57,703.351106951945,2.52792404949199
58,673.675553475972,2.49801921529839
59,620.837776737986,2.46811669092043
60,829.418888368993,2.43821656134151
61,931.709444184497,2.40831891575846
62,1017.35472209225,2.37842384784546
63,1084.67736104612,2.34853145603801
64,961.838680523062,2.31864184383876
65,823.919340261531,2.28875512014719
66,783.959670130766,2.2588713996153
67,913.979835065383,2.22899080303172
68,877.989917532691,2.199113457737
69,953.494958766346,2.169239498073
70,944.247479383173,2.13936906586965
71,1029.62373969159,2.1095023109729
72,763.811869845793,2.07963939181773
73,661.405934922897,2.04978047605103
74,916.702967461448,2.01992574120931
75,876.851483730724,1.99007537545692
76,801.925741865362,1.96022957839127
77,903.462870932681,1.93038856192218
78,873.23143546634,1.90055255123346
79,646.61571773317,1.87072178583562
80,492.307858866585,1.84089652072027
81,700.653929433293,1.81107702762748
82,747.826964716646,1.78126359643934
83,710.913482358323,1.75145653671451
84,724.956741179162,1.72165617938077
85,672.978370589581,1.69186287860453
86,493.98918529479,1.66207701385947
87,390.994592647395,1.63229899221926
88,541.997296323698,1.60252925090308
89,595.498648161849,1.572768260107
90,567.249324080924,1.54301652615907
91,596.624662040462,1.51327459504216
92,471.312331020231,1.48354305633507
93,369.656165510116,1.4538225476309
94,289.828082755058,1.42411375950097
95,458.414041377529,1.39441744108427
96,476.207020688764,1.36473440639562
97,452.103510344382,1.33506554146229
98,418.051755172191,1.30541181241783
99,443.025877586096,1.27577427470537
100,306.512938793048,1.24615408357073
101,233.256469396524,1.21655250605964
102,389.128234698262,1.18697093477473
103,376.064117349131,1.15741090369842
104,357.032058674566,1.12787410644983
105,354.016029337283,1.09836241741968
106,318.008014668641,1.0688779163216
107,218.004007334321,1.0394229168149
108,169.50200366716,1.01
109,151.75100183358,0.980612053770501
110,281.87550091679,0.951262319236918
111,329.437750458395,0.921954445729289
112,326.718875229198,0.892692556258872
113,270.859437614599,0.863481325796916
114,191.929718807299,0.834326075344646
115,373.96485940365,0.805232885567896
116,348.982429701825,0.776208734813001
117,353.991214850912,0.747261667690776
118,264.995607425456,0.718401002226472
119,310.997803712728,0.689637585982667
120,257.498901856364,0.66098411478643
121,167.249450928182,0.632455532033676
122,111.124725464091,0.604069532421558
123,198.562362732046,0.575847201955519
124,221.781181366023,0.547813836992094
125,186.390590683011,0.52
126,194.195295341506,0.492442890089805
127,187.597647670753,0.46518813398452
128,111.798823835376,0.438292140016223
129,74.8994119176882,0.41182520563948
130,153.949705958844,0.385875627631495
131,168.974852979422,0.360555127546399
132,151.987426489711,0.336005952328229
133,162.493713244856,0.312409987036266
134,145.246856622428,0.29
135,94.1234283112139,0.269072480941474
136,54.5617141556069,0.25
137,167.280857077803,0.233238075793812
138,160.640428538902,0.219317121994613
139,154.820214269451,0.208806130178211
140,169.410107134725,0.202237484161567
141,134.705053567363,0.2
